panel_code,panel_name,procedure_code,procedure_name,speciality,max_stay,package_inclusions,package_exclusions,tier1_code,tier1_rate,tier2_code,tier2_rate,tier3_code,tier3_rate,tier4_code,tier4_rate
STAR_HEALTH,Star Health Package 2022,,Angiography - includes cost of the dye (day care),CARDIOLOGY,,L1,,PVT,14000,SEMI,12600,GEN,11200,,
STAR_HEALTH,Star Health Package 2022,,"Angioplasty (staplers guldewire balloon,catheter included in the pacakge)",CARDIOLOGY,,L1,,PVT,64000,SEMI,57600,GEN,51200,,
STAR_HEALTH,Star Health Package 2022,,"Angiography With Angioplasty (staplers guidewire, balloon,catheter Included in the package)",CARDIOLOGY,,"L1,L3,L4",,PVT,70000,SEMI,63000,GEN,56000,,
STAR_HEALTH,Star Health Package 2022,,CABG (On/off Pump),CARDIOLOGY,,"L1,L4",,PVT,172500,SEMI,155250,GEN,138000,,
STAR_HEALTH,Star Health Package 2022,,Single Valve Replacement (Excluding the cost of Valve),CARDIOLOGY,,"L1,L3",,PVT,164450,SEMI,148005,GEN,131560,,
STAR_HEALTH,Star Health Package 2022,,Temporary Pacemaker Implantation (Excluding Cost of Device),CARDIOLOGY,,"L1,L3",,PVT,11000,SEMI,9900,GEN,8800,,
STAR_HEALTH,Star Health Package 2022,,Permanent Pacemaker Implantation (Excluding Cost of Device),CARDIOLOGY,,"L1,L3",,PVT,38000,SEMI,34200,GEN,30400,,
STAR_HEALTH,Star Health Package 2022,,DVR Double Valve Replacement (Excluding the cost ot Valve),CARDIOLOGY,,"L1,L3",,PVT,180550,SEMI,162495,GEN,144440,,
STAR_HEALTH,Star Health Package 2022,,Tonsillectomy Adenoidectomy (LASER And Coblation Inclusive),ENT,,L1,,PVT,25300,SEMI,22770,GEN,20240,,
STAR_HEALTH,Star Health Package 2022,,Adenotonsillectomy (LASER And Coblation Inclusive),ENT,,"L1,L3",,PVT,30000,SEMI,27000,GEN,24000,,
STAR_HEALTH,Star Health Package 2022,,Tympanoplasty- All types,ENT,,"L1,L3",,PVT,32200,SEMI,28980,GEN,25760,,
STAR_HEALTH,Star Health Package 2022,,Mastoidectomy,ENT,,L1,,PVT,34500,SEMI,31050,GEN,27600,,
STAR_HEALTH,Star Health Package 2022,,Mastoldectomy & Tympanoplasty - Including Ossiculoplasty,ENT,,"L1,L3",,PVT,46000,SEMI,41400,GEN,36800,,
STAR_HEALTH,Star Health Package 2022,,FESS WITH SEPTOPLASTY Turbinectomy or Polypectomy / Conchaplasty Unilateral,ENT,,L1,,PVT,25300,SEMI,22770,GEN,20240,,
STAR_HEALTH,Star Health Package 2022,,FESS WITH SEPTOPLASTY & Turbinectomy or Polypectomy / Conchaplasty Bilateral,ENT,,,,PVT,34000,SEMI,30600,GEN,27200,,
STAR_HEALTH,Star Health Package 2022,,Cortical Mastoidectomy With Myringoplasty,ENT,,L1,,PVT,58650,SEMI,52785,GEN,46920,,
STAR_HEALTH,Star Health Package 2022,,Peritonsilar Abscess Drainage (Dav ' Care),ENT,,"L1,L3",,PVT,31050,SEMI,27945,GEN,24840,,
STAR_HEALTH,Star Health Package 2022,,Microlaryngeal Surgeries For Cysts And Polyps,ENT,,"L1,L3",,PVT,38000,SEMI,34200,GEN,30400,,
STAR_HEALTH,Star Health Package 2022,,Myringotomy With Grommet Insertion,ENT,,"L1,L3",,PVT,14000,SEMI,12600,GEN,11200,,
STAR_HEALTH,Star Health Package 2022,,Haemorrhoidectomy (Stapler / Tacker Excluded),GENERAL SURGERY,,,,PVT,29900,SEMI,26910,GEN,23920,,
STAR_HEALTH,Star Health Package 2022,,Haemorrhoidectomy Fissurectomy (Stapler / Tacker Excluded),GENERAL SURGERY,,L1,,PVT,40250,SEMI,36225,GEN,32200,,
STAR_HEALTH,Star Health Package 2022,,Fissurectomy And Fissure Dilatation,GENERAL SURGERY,,"L1,L4",,PVT,23000,SEMI,20700,GEN,18400,,
STAR_HEALTH,Star Health Package 2022,,High End Fistulectomy - Including LASER Cost,GENERAL SURGERY,,L1,,PVT,33350,SEMI,30015,GEN,26680,,
STAR_HEALTH,Star Health Package 2022,,Low End Fistulectomy Including LASER Cost,GENERAL SURGERY,,L1,,PVT,27600,SEMI,24840,GEN,22080,,
STAR_HEALTH,Star Health Package 2022,,Appendectomy (Lap) - Pediatric/Adult,GENERAL SURGERY,,L1,,PVT,42000,SEMI,37800,GEN,33600,,
STAR_HEALTH,Star Health Package 2022,,Appendectomy (Open) - Pediatric/ Adult,GENERAL SURGERY,,"L1,L4",,PVT,38000,SEMI,34200,GEN,30400,,
STAR_HEALTH,Star Health Package 2022,,cholesystectomy (Lap) - Pediatric /Adult,GENERAL SURGERY,,"L1,L4",,PVT,45000,SEMI,40500,GEN,36000,,
STAR_HEALTH,Star Health Package 2022,,cholesystectomy (Open) Pedlatric/Adult,GENERAL SURGERY,,L1,,PVT,40000,SEMI,36000,GEN,34000,,
STAR_HEALTH,Star Health Package 2022,,Excision Of Pilonoidal Sinus With Primary Closure,GENERAL SURGERY,,"L1,L3",,PVT,29000,SEMI,26100,GEN,23200,,
STAR_HEALTH,Star Health Package 2022,,MMastectomy (Simple),GENERAL SURGERY,,"L1,L3,L4",,PVT,34500,SEMI,31050,GEN,27600,,
STAR_HEALTH,Star Health Package 2022,,Mastectomy (Radical) Or Modified Radical Mastectomy,GENERAL SURGERY,,"L1,L3,L4",,PVT,64400,SEMI,57960,GEN,51520,,
STAR_HEALTH,Star Health Package 2022,,Thyroidectomy (Total/Subtotal/Enucleation/Partial /Lingual/lsthmectomy),GENERAL SURGERY,,L1,,PVT,50600,SEMI,45540,GEN,40480,,
STAR_HEALTH,Star Health Package 2022,,Inguinal Femoral Hernioplasty - Unilateral (Open/Lap) (Excluding the cost of mesh and tackers),GENERAL SURGERY,,L1,,PVT,48300,SEMI,43470,GEN,38640,,
STAR_HEALTH,Star Health Package 2022,,IInguinal / Femoral Hernioplasty - Bilateral (Open/Lap) (Excluding the cost of mesh and tackers),GENERAL SURGERY,,L1,,PVT,66700,SEMI,60030,GEN,53360,,
STAR_HEALTH,Star Health Package 2022,,Umblical Hernioplasty (Open/Lap) (Excluding the cost of mesh and tackers),GENERAL SURGERY,,L1,,PVT,48300,SEMI,43470,GEN,38640,,
STAR_HEALTH,Star Health Package 2022,,Incisional Hernioplasty (Open/Lap) (Excluding the cost of mesh and tackers),GENERAL SURGERY,,L1,,PVT,49450,SEMI,44505,GEN,39560,,
STAR_HEALTH,Star Health Package 2022,,Circumcision (Day Care),GENERAL SURGERY,,L1,,PVT,14000,SEMI,14000,GEN,14000,,
STAR_HEALTH,Star Health Package 2022,,Perianal Abcess,GENERAL SURGERY,,"L1,L2,L3,L4",,PVT,18000,SEMI,16200,GEN,14400,,
STAR_HEALTH,Star Health Package 2022,,Breast Lumpectomy,GENERAL SURGERY,,"L1,L3,L4",,PVT,27000,SEMI,24000,GEN,12650,,
STAR_HEALTH,Star Health Package 2022,,Hydrocele: Unilateral,GENERAL SURGERY,,"L1,L4",,PVT,18400,SEMI,16560,GEN,14720,,
STAR_HEALTH,Star Health Package 2022,,Right Or Left Hemi Coloctomy,GENERAL SURGERY,,L1,,PVT,80000,SEMI,72000,GEN,64000,,
STAR_HEALTH,Star Health Package 2022,,Resection And Anastomosis Of Small Intestine (Single),GENERAL SURGERY,,"L1,L3",,PVT,90000,SEMI,81000,GEN,72000,,
STAR_HEALTH,Star Health Package 2022,,OBSTETRICS & GYNECOLOGY,GENERAL SURGERY,,"L1,L4",,PVT,26450,SEMI,23805,GEN,21160,,
STAR_HEALTH,Star Health Package 2022,,LSCS (With well baby care) - Single [Twins,GENERAL SURGERY,,"L1,L4",,PVT,48300,SEMI,43470,GEN,38640,,
STAR_HEALTH,Star Health Package 2022,,LAVH With or Without Adhesiolysis & PFR,GENERAL SURGERY,,"L1,L4",,PVT,48300,SEMI,43470,GEN,38640,,
STAR_HEALTH,Star Health Package 2022,,TAH+BSO+Adhesiolysis (Open /Lap),GENERAL SURGERY,,L1,,PVT,50600,SEMI,45540,GEN,40480,,
STAR_HEALTH,Star Health Package 2022,,Maginal Hysterectomy With Pelvic Floor Repair & Adhesiolysis,GENERAL SURGERY,,"L1,L4",,PVT,40000,SEMI,36000,GEN,32000,,
STAR_HEALTH,Star Health Package 2022,,Instrumental Delivery (With well baby care) - Single[Twins,GENERAL SURGERY,,"L1,L4",,PVT,32000,SEMI,28800,GEN,25600,,
STAR_HEALTH,Star Health Package 2022,,Ovarian Cystectomy (Lap/Open),GENERAL SURGERY,,L1,,PVT,36800,SEMI,33120,GEN,29440,,
STAR_HEALTH,Star Health Package 2022,,Dilatation & Curettage (D&C) (Day Care),GENERAL SURGERY,,"L1,L3,L4",,PVT,12650,SEMI,12650,GEN,12650,,
STAR_HEALTH,Star Health Package 2022,,Vaginal Vault Prolapse Repair,GENERAL SURGERY,,"L1,L4",,PVT,48300,SEMI,43470,GEN,38640,,
STAR_HEALTH,Star Health Package 2022,,Myomectomy (Lap/Open),GENERAL SURGERY,,L1,,PVT,40000,SEMI,36000,GEN,32000,,
STAR_HEALTH,Star Health Package 2022,,Cataract - Excluding Lens Phaco,GENERAL SURGERY,,"L1,L3,L4",,PVT,20700,SEMI,20700,GEN,20700,,
STAR_HEALTH,Star Health Package 2022,,Cataract - Excluding Lens MicS,GENERAL SURGERY,,,,PVT,20700,SEMI,20700,GEN,20700,,
STAR_HEALTH,Star Health Package 2022,,Total Knee Replacement Unilateral - Including Navigatlon (Excluding Cost of Implant),ORTHOPAEDICS,,"L1,L3",,PVT,98900,SEMI,89010,GEN,79120,,
STAR_HEALTH,Star Health Package 2022,,Total Knee Replacement - Bilateral - Including Navigation ((Excluding Cost of Implant),ORTHOPAEDICS,,"L1,L4",,PVT,150000,SEMI,135000,GEN,120000,,
STAR_HEALTH,Star Health Package 2022,,Total Hip Replacement - Unilateral - Including Navlgation (Excluding Cost of Implant),ORTHOPAEDICS,,L1,,PVT,90850,SEMI,81765,GEN,72680,,
STAR_HEALTH,Star Health Package 2022,,Total Hip Replacement - Bilateral - Including Navigation (Excluding Cost of Implant),ORTHOPAEDICS,,L1,,PVT,143750,SEMI,129375,GEN,115000,,
STAR_HEALTH,Star Health Package 2022,,Fracture Neck Femur (Excluding Cost of Implant),ORTHOPAEDICS,,"L1,L3",,PVT,51750,SEMI,46575,GEN,41400,,
